,ZIP,LAT,LNG
79,10311,40.605241,-74.179503
80,10312,40.545237,-74.180443
81,10314,40.599263,-74.165748
82,10451,40.820479,-73.925084
83,10452,40.837393,-73.923437
84,10453,40.852779,-73.912332
85,10454,40.805489,-73.916585
86,10455,40.81471,-73.908593
87,10456,40.829881,-73.90812
88,10457,40.84715,-73.89868
89,10458,40.862543,-73.888143
90,10459,40.825867,-73.892942
91,10460,40.841758,-73.879571
92,10461,40.847381,-73.840584
93,10462,40.84328,-73.860389
94,10463,40.880678,-73.90654
95,10464,40.867787,-73.79992
96,10465,40.822615,-73.822239
97,10466,40.890964,-73.846239
98,10467,40.869953,-73.865746
99,10468,40.868093,-73.89973
100,10469,40.868607,-73.848133
101,10470,40.88953,-73.872662
102,10471,40.898868,-73.903328
103,10472,40.829556,-73.869336
104,10473,40.81869,-73.858474
105,10474,40.810549,-73.884367
106,10475,40.875169,-73.823817
107,10501,41.295608,-73.75849
108,10502,41.011602,-73.841433
109,10503,41.026556,-73.87531
110,10504,41.128468,-73.707521
111,10505,41.34209,-73.745449
112,10506,41.190395,-73.639144
113,10507,41.227896,-73.686047
114,10509,41.410855,-73.59434
115,10510,41.139472,-73.835704
116,10511,41.265428,-73.943192
117,10512,41.457619,-73.724608
118,10514,41.172153,-73.769196
119,10516,41.461974,-73.874908
120,10517,41.298243,-73.861993
121,10518,41.266143,-73.588296
122,10519,41.352346,-73.652662
123,10520,41.226478,-73.867787
124,10522,41.01031,-73.863746
125,10523,41.059341,-73.819457
126,10524,41.375325,-73.926217
127,10526,41.288102,-73.668835
128,10527,41.321183,-73.769878
129,10528,40.975049,-73.724925
130,10530,41.023712,-73.81281
131,10532,41.099278,-73.800327
132,10533,41.036927,-73.854864
133,10535,41.335169,-73.793919
134,10536,41.269098,-73.688694
135,10537,41.33974,-73.882349
136,10538,40.937752,-73.756473
137,10541,41.381113,-73.751935
138,10543,40.952693,-73.73604
139,10545,41.178591,-73.83545
140,10546,41.195609,-73.801126
141,10547,41.313334,-73.846039
142,10548,41.245696,-73.932977
143,10549,41.200584,-73.723465
144,10550,40.905448,-73.835253
145,10552,40.92446,-73.826115
146,10553,40.908584,-73.821652
147,10560,41.340527,-73.597609
148,10562,41.19448,-73.825254
149,10566,41.289483,-73.916847
150,10567,41.2896,-73.897001
151,10570,41.130067,-73.78667
152,10573,41.015857,-73.677404
153,10576,41.221577,-73.572332
154,10577,41.038367,-73.711114
155,10578,41.320276,-73.678991
156,10579,41.395364,-73.839053
157,10580,40.979049,-73.693202
158,10583,40.988682,-73.789204
159,10588,41.336623,-73.820007
160,10589,41.334143,-73.714634
161,10590,41.255269,-73.539404
162,10591,41.090097,-73.841014
163,10594,41.113425,-73.774292
164,10595,41.085897,-73.782645
165,10596,41.256258,-73.959177
166,10597,41.293021,-73.596568
167,10598,41.288223,-73.792203
168,10601,41.032932,-73.765071
169,10603,41.0544,-73.779287
170,10604,41.071512,-73.747093
171,10605,41.010525,-73.745125
172,10606,41.020572,-73.775846
173,10607,41.039089,-73.811368
174,10701,40.94542,-73.880471
175,10703,40.959829,-73.880302
176,10704,40.919729,-73.862651
177,10705,40.919705,-73.889928
178,10706,40.989821,-73.867552
179,10707,40.960533,-73.822732
180,10708,40.938267,-73.829922
181,10709,40.954635,-73.808184
182,10710,40.967157,-73.846339
183,10801,40.91757,-73.784858
184,10803,40.900458,-73.807138
185,10804,40.946841,-73.788051
186,10805,40.897721,-73.779258
187,10901,41.140772,-74.104976
188,10910,41.28157,-74.137958
189,10911,41.319158,-74.008159
190,10913,41.068258,-73.954975
191,10914,41.417717,-74.200026
192,10915,41.545359,-74.359321
193,10916,41.442343,-74.250577
194,10917,41.319572,-74.117639
195,10918,41.344192,-74.262177
196,10919,41.525959,-74.387618
197,10920,41.156495,-73.938239
198,10921,41.332065,-74.363422
199,10922,41.33276,-73.996452
200,10923,41.203121,-74.002263
201,10924,41.381005,-74.352471
202,10925,41.198181,-74.314759
203,10926,41.301846,-74.11976
204,10927,41.191052,-73.967562
205,10928,41.34897,-73.998495
206,10930,41.366224,-74.121236
207,10931,41.148792,-74.162522
208,10932,41.48216,-74.464285
209,10933,41.368021,-74.512999
210,10940,41.446544,-74.478741
211,10941,41.487318,-74.344437
212,10950,41.317346,-74.199881
213,10952,41.111118,-74.07854
214,10953,41.404964,-74.077432
215,10954,41.098819,-74.013262
216,10956,41.157191,-73.993416
217,10958,41.371913,-74.432479
218,10960,41.092068,-73.924648
219,10962,41.050066,-73.958585
220,10963,41.463529,-74.543423
221,10964,41.016204,-73.914304
222,10965,41.061561,-74.007832
223,10968,41.037017,-73.921259
224,10969,41.294859,-74.488006
225,10970,41.180177,-74.102175
226,10973,41.380516,-74.480462
227,10974,41.168058,-74.178013
228,10975,41.267079,-74.172263
229,10976,41.02296,-73.928488
