ST_CASE,YEAR,STATE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
10064,2020,1,73,1,1,4,2,2,1,1,3,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10065,2020,1,45,1,1,4,2,2,1,1,3,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10066,2020,1,115,2,1,4,1,2,1,2,4,2,3,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10067,2020,1,21,2,1,4,1,2,1,2,4,2,3,1,1,2,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10069,2020,1,115,1,1,4,1,2,1,2,4,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10070,2020,1,125,2,1,4,2,2,1,2,4,3,3,1,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10071,2020,1,109,2,1,4,1,2,1,2,5,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10072,2020,1,69,2,1,4,1,2,1,1,5,1,4,1,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10073,2020,1,97,1,1,4,1,2,4,2,5,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10074,2020,1,109,1,1,4,1,2,4,2,5,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10075,2020,1,127,1,1,4,1,2,1,2,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10076,2020,1,45,1,1,4,1,2,1,1,4,1,4,1,1,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,1,2,0,0,0
10077,2020,1,91,2,1,4,1,2,1,2,4,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
10078,2020,1,77,1,1,4,1,2,1,1,6,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10079,2020,1,113,1,1,4,2,2,1,1,3,1,4,2,1,2,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10080,2020,1,71,1,1,4,2,2,1,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10081,2020,1,59,1,1,4,1,2,4,2,4,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10082,2020,1,69,1,1,4,1,2,4,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10083,2020,1,83,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10084,2020,1,25,1,1,4,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
10085,2020,1,33,1,1,4,1,2,4,2,5,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10086,2020,1,121,1,1,4,2,2,4,2,5,2,1,1,1,1,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10087,2020,1,33,1,1,4,2,2,3,2,3,2,1,2,1,1,13,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10088,2020,1,15,1,1,4,1,2,1,2,4,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10089,2020,1,13,1,1,4,1,2,1,1,4,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,0,0,0
10090,2020,1,9,2,1,4,1,2,1,1,3,1,5,1,1,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10091,2020,1,43,1,1,4,2,2,1,1,5,1,4,1,2,2,1,2,2,2,2,2,2,2,1,2,3,1,2,1,2,2,2,2,2,2,2,2,0,0,0
10092,2020,1,91,1,1,4,1,2,1,1,3,1,4,1,2,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10093,2020,1,73,1,1,4,2,2,4,2,5,2,1,1,2,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10094,2020,1,73,1,1,4,1,2,4,2,5,2,1,1,2,1,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10095,2020,1,39,1,1,4,1,2,1,2,4,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10096,2020,1,97,1,1,4,2,2,1,2,3,2,4,1,1,3,2,2,2,1,2,2,2,2,2,2,3,2,2,1,1,2,2,1,1,2,2,2,0,0,0
10097,2020,1,49,2,1,4,2,2,1,1,4,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
10098,2020,1,19,1,1,4,1,2,1,2,3,2,3,1,1,2,13,1,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
10099,2020,1,83,1,1,4,1,2,1,2,3,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10100,2020,1,89,1,1,4,2,2,4,2,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10101,2020,1,9,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,1,0,0,0
10102,2020,1,97,1,1,4,2,1,4,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10103,2020,1,101,1,1,4,2,1,1,2,1,2,1,1,2,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
10104,2020,1,97,1,1,4,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10105,2020,1,63,1,1,4,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10106,2020,1,101,1,1,4,2,1,1,2,1,2,3,1,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10107,2020,1,21,1,1,4,1,1,4,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,1,0,0,0
10108,2020,1,97,1,1,4,2,1,4,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10109,2020,1,21,2,1,4,2,1,1,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10110,2020,1,97,1,1,4,2,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10111,2020,1,73,1,1,4,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10112,2020,1,73,1,1,4,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
10113,2020,1,79,1,1,4,1,2,1,2,3,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10114,2020,1,73,1,1,4,2,2,1,2,3,2,5,1,2,2,13,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10115,2020,1,73,1,1,4,2,2,1,2,3,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10116,2020,1,73,1,1,4,1,2,1,2,3,2,3,1,1,2,13,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10117,2020,1,25,1,1,4,1,2,1,2,5,2,4,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10118,2020,1,73,1,1,4,2,2,1,2,4,2,3,2,1,2,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10119,2020,1,41,1,1,4,1,2,4,2,5,2,1,1,1,1,13,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10120,2020,1,89,1,1,4,2,2,1,1,3,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10121,2020,1,71,1,1,4,1,2,1,2,4,2,3,1,2,2,13,2,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10122,2020,1,101,1,1,4,2,2,1,1,6,1,7,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10123,2020,1,73,1,1,4,2,2,1,2,3,2,1,2,1,1,13,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10124,2020,1,121,1,1,4,1,2,1,2,3,2,4,1,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10125,2020,1,121,1,1,4,1,2,4,2,5,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10126,2020,1,133,1,1,4,1,2,4,2,3,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10127,2020,1,95,2,1,4,1,2,1,2,4,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
10128,2020,1,81,2,1,4,2,2,1,2,5,2,4,2,1,2,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10129,2020,1,79,1,1,4,1,2,1,1,3,1,4,2,1,2,13,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10130,2020,1,113,1,1,4,2,2,1,2,4,2,4,1,1,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10131,2020,1,29,1,1,4,1,2,1,2,4,2,1,2,1,2,13,2,2,2,1,1,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
10132,2020,1,51,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10133,2020,1,73,1,1,4,2,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10134,2020,1,23,1,1,4,1,2,4,2,6,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10135,2020,1,115,1,1,4,1,2,1,2,5,2,3,1,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,1,2,0,0,0
10136,2020,1,127,1,1,4,1,2,4,2,5,2,1,1,1,1,13,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10137,2020,1,17,1,1,4,2,2,4,2,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10138,2020,1,7,2,1,4,1,2,1,2,3,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10139,2020,1,33,1,1,4,2,2,3,2,3,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10140,2020,1,73,1,1,4,2,2,1,1,4,1,4,1,1,3,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
10141,2020,1,127,1,1,4,1,2,4,2,4,2,1,2,2,2,13,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10142,2020,1,69,1,1,4,1,2,4,2,4,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10143,2020,1,59,1,1,4,1,2,4,2,5,2,1,2,1,1,13,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
10144,2020,1,121,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10145,2020,1,49,1,1,4,1,2,4,2,4,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
10146,2020,1,61,1,1,4,1,2,1,1,5,1,4,1,1,2,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
10147,2020,1,101,1,1,4,1,2,1,2,3,2,3,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10148,2020,1,73,1,1,4,1,2,1,2,5,2,3,1,1,2,13,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10149,2020,1,103,1,1,4,1,2,4,2,5,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10150,2020,1,121,1,1,4,2,2,3,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,0,0,0
10151,2020,1,13,1,1,4,1,2,1,2,6,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10152,2020,1,123,1,1,4,1,2,4,2,5,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
10153,2020,1,69,1,1,4,2,2,4,2,6,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
