Rank,Zip Code,Population
526,99150,256
527,98288,254
528,99356,252
529 TIE,98267,250
529 TIE,98164,250
531,98552,240
532,98527,237
533,98647,236
534,98381,235
535,99034,231
536,98621,228
537,99176,207
538,98526,206
539,98224,203
540,99149,197
541,98263,196
542,98819,190
543,98286,188
544,99039,181
545,98582,177
546,99329,175
547,99017,167
548,99335,164
549 TIE,98824,161
549 TIE,99147,161
551,99359,159
552,99151,158
553,98832,155
554,98833,149
555,99152,148
556,98505,145
557,99345,140
558,98539,136
559,99131,132
560,98817,131
561,98602,126
562 TIE,98811,120
562 TIE,98583,120
564 TIE,98575,117
564 TIE,98616,117
566,98853,116
567,98641,114
568,98222,108
569,98939,105
570,98560,98
571,99160,88
572,99333,81
573,98859,78
574,98571,77
575,98364,67
576,98297,59
577,98544,55
578,98558,51
579,98670,48
580,99363,46
581,98238,45
582,98562,43
583 TIE,99146,42
583 TIE,98623,42
585,99154,41
586,99174,33
587,99014,31
588,98950,29
589,99105,27
590,98330,22
591,99136,21
592,98852,20
593,98353,17
594,99144,15
